unitCode,unitTitle,type
CPCCBL2001A,Handle and prepare bricklaying and blocklaying materials,null
CPCCBL2002A,Use bricklaying and blocklaying tools and equipment,null
CPCCCA2002B,Use carpentry tools and equipment,null
CPCCCA2003A,Erect and dismantle formwork for footings and slabs on ground,null
CPCCCA2011A,Handle carpentry materials,null
CPCCCM1012A,Work effectively and sustainably in the construction industry,Core
CPCCCM1013A,Plan and organise work,Core
CPCCCM1014A,Conduct workplace communication,Core
CPCCCM1015A,Carry out measurements and calculations,Core
CPCCCM2001A,Read and interpret plans and specifications,Core
CPCCCM2004A,Handle construction materials,null
CPCCCM2006B,Apply basic levelling procedures,null
CPCCCM2009A,Carry out basic demolition,null
CPCCCM2010B,Work safely at heights,null
CPCCCO2013A,Carry out concreting to simple forms,null
CPCCJN2001A,Assemble components,null
CPCCJN2002B,Prepare for off-site manufacturing process,null
CPCCJN3001A,Use static machines,null
CPCCOHS2001A,"Apply OHS requirements, policies and procedures in the construction industry",Core
CPCCSH2001A,Prepare surfaces,null
CPCCSP2001A,Handle solid plastering materials,null
CPCCSP2002A,Use solid plastering tools and equipment,null
CPCCSP2003A,Prepare surfaces for plastering,null
CPCCST2001A,Prepare for stonemasonry construction process,null
CPCCST2003A,Finish stone,null
CPCCST2006A,Identify and use stone products,null
CPCCWF2001A,Handle wall and floor tiling materials,null
CPCCWF2002A,Use wall and floor tiling tools and equipment,null
CPCCWF3001A,Prepare surfaces for tiling application,null
CPCCWP2001A,Handle waterproofing materials,null
CPCCWP2002A,Use waterproofing tools and equipment,null
CPCCWP2003A,Prepare for construction waterproofing process,null
CPCCWP2004A,Prepare surfaces for waterproofing application,null
RIICCM210D,Install trench support,Elective
RIIWHS205D,Control traffic with stop-slow bat,Elective
RIIWMG203D,Drain and dewater civil construction site,Elective
