unitCode,unitTitle,type
AHCSAW201,Conduct erosion and sediment control activities,Elective
AHCSAW301,Construct conservation earthworks,Elective
BSBDIV301,Work effectively with diversity,Elective
CPCCCM2007B,Use explosive power tools,Elective
CPCCLDG3001A,Licence to perform dogging,Elective
CPCCLSF2001A,"Licence to erect, alter and dismantle scaffolding basic level",Elective
HLTAID003,Provide first aid,Elective
RIIBEF201D,Plan and organise work,Core
RIICCM201D,Carry out measurements and calculations,Core
RIICCM202D,"Identify, locate and protect underground services",Core
RIICCM203D,Read and interpret plans and job specifications,Core
RIICCM204D,Place and fix reinforcement materials,Elective
RIICCM205E,Carry out manual excavation,Core
RIICCM206D,Support plant operations,Core
RIICCM207D,Spread and compact materials manually,Core
RIICCM208D,Carry out basic levelling,Core
RIICCM209D,Carry out concrete work,Elective
RIICCM210D,Install trench support,Elective
RIICCM211D,Erect and dismantle temporary fencing and gates,Elective
RIICOM201D,Communicate in the workplace,Core
RIICRC201D,Repair potholes,Elective
RIICRC208D,Lay pipes,Elective
RIICRC308D,Conduct paver operations,Elective
RIICRC309D,Conduct stabiliser operations,Elective
RIIHAN208D,Perform dogging,Elective
RIIHAN211D,Conduct basic scaffolding operations,Elective
RIIHAN301E,Operate elevating work platform,Elective
RIIHAN308F,Load and unload plant,Elective
RIIHAN309F,Conduct telescopic materials handler operations,Elective
RIIHAN311F,Conduct operations with integrated tool carrier,Elective
RIIMPO315E,Conduct tractor operations,Elective
RIIMPO316E,Conduct self-propelled compactor operations,Elective
RIIMPO317F,Conduct roller operations,Elective
RIIMPO318F,Conduct civil construction skid steer loader operations,Elective
RIIMPO319E,Conduct backhoe/loader operations,Elective
RIIMPO320F,Conduct civil construction excavator operations,Elective
RIIMPO321F,Conduct civil construction wheeled front end loader operations,Elective
RIIMPO322E,Conduct civil construction tracked front end loader operations,Elective
RIIMPO323E,Conduct civil construction dozer operations,Elective
RIIMPO324F,Conduct civil construction grader operations,Elective
RIIMPO325E,Conduct civil construction scraper operations,Elective
RIIMPO326E,Conduct water vehicle operations,Elective
RIIMPO327E,Conduct pipe layer operations,Elective
RIIMPO328E,Conduct continuous bucket trencher operations,Elective
RIIMPO336E,Conduct belly dump truck operations,Elective
RIIMPO337E,Conduct articulated haul truck operations,Elective
RIIMPO338E,Conduct rigid haul truck operations,Elective
RIIQUA201D,Maintain and monitor site quality standards,Elective
RIIRIS201D,Conduct local risk control,Elective
RIIRIS202D,Respond to site based spills,Elective
RIISAM201D,Handle resources and infrastructure materials and safely dispose of nontoxic materials,Core
RIISAM203D,Use hand and power tools,Core
RIISAM204D,Operate small plant and equipment,Core
RIISAM205D,"Cut, weld and bend materials",Elective
RIISAM213D,Position and set up mobile lighting,Elective
RIIVEH304D,Conduct tip truck operations,Elective
RIIWHS201D,Work safely and follow WHS policies and procedures,Core
RIIWHS202D,Enter and work in confined spaces,Elective
RIIWHS204D,Work safely at heights,Elective
RIIWHS205D,Control traffic with stop-slow bat,Elective
RIIWMG203D,Drain and dewater civil construction site,Core
TLILIC0005,Licence to operate a boom-type elevating work platform (boom length 11 metres or more),Elective
TLILIC0008,Licence to operate a non-slewing mobile crane (greater than 3 tonnes capacity),Elective
