unitCode,unitTitle,type
BSBCMM301,Process customer complaints,Elective
BSBCUS301,Deliver and monitor a service to customers,Elective
BSBFIA301,Maintain financial records,Elective
BSBINM301,Organise workplace information,Elective
BSBPUR301,Purchase goods and services,Elective
BSBRKG302,Undertake disposal,Elective
BSBWOR301,Organise personal work priorities and development,Elective
RIIHAN301E,Operate elevating work platform,Elective
TLIA0004,Complete receival and despatch documentation,Elective
TLIA0005,Connect and disconnect reefer units,Elective
TLIA0006,Coordinate goods to bond premises,Elective
TLIA0008,Coordinate stocktakes,Elective
TLIA0009,Coordinate terminal/wharf equipment operations,Elective
TLIA0010,Identify goods and store to specifications,Elective
TLIA0013,Maintain container and freight records,Elective
TLIA0015,Organise receival and despatch operations,Elective
TLIA0016,Organise warehouse records operations,Elective
TLIA0017,Process receipt and delivery of containers and cargo,Elective
TLIA1001,Secure cargo,Elective
TLIA3026,Monitor storage facilities,Elective
TLIB0005,Operate pooled equipment,Elective
TLIB2001,Check and assess operational capabilities of equipment,Elective
TLIB3002,Test equipment and isolate faults,Elective
TLID0001,Load and unload vehicles carrying special loads,Elective
TLID0003,Control lift and movement of crane,Elective
TLID0006,Move materials mechanically using automated equipment,Elective
TLID0008,Shift loads using bridge or gantry crane,Elective
TLID0009,Shift loads using cranes,Elective
TLID1001,Shift materials safely using manual handling methods,Core
TLID2004,Load and unload goods/cargo,Elective
TLID2010,Operate a forklift,Elective
TLID3011,Conduct specialised forklift operations,Elective
TLID3015,Identify and label explosives/dangerous goods,Elective
TLID3023,Use specialised liquid bulk gas transfer equipment,Elective
TLID3024,Use specialised liquid bulk transfer equipment (gravity/pressurised),Elective
TLID3027,Prepare for transport of dangerous goods,Elective
TLID3031,Rig load,Elective
TLID3033,Operate a vehicle-mounted loading crane,Elective
TLID3035,Operate a boom type elevating work platform,Elective
TLID3036,Lift and move load using a mobile crane,Elective
TLIE0003,Consolidate manifest documentation,Elective
TLIE0004,Maintain freight records,Elective
TLIE0005,Undertake rigger/dogger and operators communications,Elective
TLIE2007,Use communications systems,Elective
TLIE3002,"Estimate/calculate mass, area and quantify dimensions",Elective
TLIE3016,Estimate/calculate load shifting requirements for a mobile crane,Elective
TLIF0006,Administer a fatigue risk management system,Elective
TLIF0009,Ensure the safety of transport activities (Chain of Responsibility),Core
TLIF0014,Monitor the safety of transport activities (Chain of Responsibility),Elective
TLIF2080,Safely access the rail corridor,Elective
TLIF3003,Implement and monitor work health and safety procedures,Elective
TLIF3022,Implement/monitor procedures when warehousing/storing dangerous goods/hazardous substances,Elective
TLIF3091,Apply awareness of dangerous goods and hazardous materials requirements,Elective
TLIG3002,Lead a work team or group,Elective
TLIH2001,Interpret road maps and navigate pre-determined routes,Elective
TLIH3004,"Identify major roads, services and attractions",Elective
TLIJ3002,Apply quality systems,Elective
TLIJ3005,"Sample, inspect and test products to specifications",Elective
TLIJ3006,Implement grain protection procedures,Elective
TLIK2010,Use infotechnology devices in the workplace,Elective
TLIL1001,Complete workplace orientation/induction procedures,Elective
TLIL3002,Undertake employee payroll activities,Elective
TLIL3003,Conduct induction process,Elective
TLILIC0003,Licence to operate a forklift truck,Elective
TLILIC0004,Licence to operate an order picking forklift truck,Elective
TLILIC0011,Licence to operate a reach stacker (greater than 3 tonnes capacity),Elective
TLIO0001,Undertake emergency response action to a security threat,Elective
TLIO0002,Apply and monitor workplace security procedures,Elective
TLIO0003,Follow security procedures when working with goods and cargo,Elective
TLIO3004,Conduct control procedures for transferring explosives/dangerous/hazardous/high risk goods,Elective
TLIU2012,Participate in environmentally sustainable work practices,Elective
TLIU3011,Implement and monitor environmentally sustainable work practices,Elective
TLIW3006,Operate computerised mail and parcels sorting equipment,Elective
TLIW3008,Carry out culler facer canceller operations,Elective
TLIX0004X,Administer inventory systems,Elective
TLIX0005X,Administer market supply systems,Elective
TLIX0013X,Maintain stock control and receivals,Elective
TLIX0015X,Manage fundamental aspects of supply chains,Elective
